Term_ID,Term,Short_Form,Category,Short_Definition,Extended_Definition,Why_It_Matters_For_PRO,Synonyms_And_Related_Terms,Example_In_Context,Source
11,Confidence Interval,CI,Statistical method,"Range of plausible values for an estimated parameter at a specified probability level, typically 95%.","A confidence interval provides a range of values within which the true population parameter (e.g., mean treatment difference, HR, odds ratio) is estimated to lie with a specified level of confidence, most commonly 95%. The correct interpretation is frequentist: if the study were repeated many times under identical conditions, 95% of the computed intervals would contain the true parameter value — it is not the probability that the true value lies in any single interval. For PRO analyses, CIs around mean score differences, hazard ratios, and responder proportions are essential for assessing the precision and practical significance of treatment effects. Narrow CIs indicate high precision; wide CIs signal uncertainty, typically due to small sample size, high PRO score variability, or high dropout rates. Regulatory reviewers assess CIs alongside p-values to evaluate both statistical significance and the plausible range of effect sizes.","CIs communicate the precision of PRO treatment effect estimates, directly affecting regulatory confidence in labelling claims. An AI agent should flag wide CIs — particularly when the lower bound falls below the MID — as indicating insufficient precision to support robust PRO conclusions.","CI | Confidence interval | 95% CI | 90% CI | 99% CI | Interval estimate | Uncertainty interval | Precision interval | Frequentist CI | Bayesian credible interval (CrI, related) | Two-sided CI | One-sided CI","The mean treatment difference in EORTC QLQ-C30 global health status was 6.8 points (95% CI 3.2–10.4), with the lower CI bound exceeding the 3-point distribution-based MID, supporting a claim of clinically meaningful improvement.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Statistical Principles for Clinical Trials [GUIDANCE]
12,P-value,p,Statistical method,Probability of observing results as extreme as the data assuming the null hypothesis is true.,"The p-value is the probability of obtaining a test statistic as extreme or more extreme than the observed value, given that the null hypothesis of no treatment effect is true. A p-value below a pre-specified significance threshold (α = 0.05 two-sided, or α = 0.025 one-sided, in most Phase III trials) is used to declare statistical significance. Critically, a p-value does not measure the probability that the null hypothesis is true, the magnitude of the treatment effect, or the clinical importance of the finding. In PRO analyses involving multiple domains or timepoints, unadjusted p-values are highly susceptible to multiplicity inflation; pre-specified hierarchical testing procedures or alpha adjustment methods (e.g., Bonferroni, Hochberg) are required for confirmatory analyses. Regulatory agencies require that alpha levels and multiplicity control strategies be pre-specified in the statistical analysis plan.","P-values gatekeep whether PRO endpoints achieve the statistical significance required for confirmatory labelling claims, but their interpretation requires multiplicity control and contextualisation with effect size and CIs. An AI agent must flag unadjusted p-values, absent testing hierarchies, and situations where significance is achieved without clinical meaningfulness.",p-value | p value | P | Significance level | Alpha | Statistical significance | Nominal p-value | Adjusted p-value | Unadjusted p-value | Two-sided p-value | One-sided p-value | Observed significance level | Type I error | Alpha threshold,"The pre-specified hierarchical testing procedure controlled the family-wise error rate at α = 0.05; the primary PRO endpoint of TTD achieved p = 0.003 and was considered confirmatory, while secondary HRQoL domain comparisons were tested sequentially without further alpha adjustment.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Statistical Principles for Clinical Trials [GUIDANCE] | Wasserstein RL & Lazar NA 2016 (Am Stat)
13,Prespecified Endpoint,None,Regulatory concept,An endpoint formally defined in the protocol or SAP before any unblinded data are examined.,"A prespecified endpoint is any outcome measure, analysis method, threshold, or hypothesis formally documented in the trial protocol or statistical analysis plan (SAP) prior to database lock or unblinding, establishing it as an a priori commitment rather than a post-hoc observation. Prespecification must cover the endpoint definition, instrument, scoring algorithm, MID threshold, timepoint, analysis method, and multiplicity position to be considered fully prespecified by regulatory standards. FDA and EMA require that PRO labelling claims be based exclusively on prespecified endpoints; findings arising from analyses not prespecified are considered hypothesis-generating only. The regulatory rationale is to prevent outcome reporting bias and selective analysis, which inflate Type I error rates. For PRO submissions in multiple myeloma, the SAP must explicitly state whether TTD, TTDD, or domain-specific analyses are confirmatory or exploratory prior to any unblinding.",Prespecification is a binary gatekeeping criterion for regulatory credibility: only prespecified PRO endpoints can support confirmatory labelling claims. An AI agent must classify every PRO finding as prespecified or not and escalate the distinction when evaluating regulatory strength of evidence.,Prespecified endpoint | Pre-specified endpoint | A priori endpoint | Protocol-specified endpoint | SAP-defined endpoint | Pre-planned analysis | Pre-registered endpoint | Confirmatory prespecified endpoint | Primary prespecified endpoint | Secondary prespecified endpoint | Protocol amendment endpoint,"The TTD for pain intensity was a prespecified secondary endpoint in the SAP filed on 14 March 2021, prior to database lock, and therefore supported a confirmatory interpretation in the regulatory submission.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE]
14,Alpha Control / Type I Error Control,None,Statistical method,Procedures that maintain the probability of falsely rejecting a true null hypothesis at or below a prespecified level.,"Type I error is the probability of incorrectly concluding a treatment effect exists when the null hypothesis is actually true; alpha (α) is the prespecified maximum acceptable Type I error rate, conventionally set at 0.05 (two-sided) or 0.025 (one-sided) in confirmatory Phase III trials. When multiple endpoints or hypotheses are tested within a single trial — as is common in PRO-inclusive oncology trials — the family-wise error rate (FWER) inflates above α unless formal control procedures are applied. Alpha control methods include Bonferroni correction, Holm-step-down, Hochberg step-up, fixed-sequence hierarchical testing, and graphical testing procedures such as the Maurer-Bretz approach. Regulatory agencies require FWER control at the 0.05 level across all confirmatory primary and key secondary endpoints, including PRO endpoints included in the confirmatory testing hierarchy. Without documented alpha control, PRO findings cannot support label claims regardless of p-value magnitude.","Alpha control determines whether any PRO endpoint can achieve confirmatory regulatory status; without it, statistically significant PRO results remain exploratory. An AI agent must verify that PRO endpoints in submissions are positioned within a multiplicity-controlled testing strategy before attributing confirmatory weight.",Alpha control | Type I error control | FWER | Family-wise error rate | Alpha inflation | Multiple comparison problem | Multiplicity control | Significance threshold | Alpha level | Experiment-wise error rate | Bonferroni | Holm procedure | Hochberg procedure | Graphical testing procedure | Confirmatory alpha,"To control the family-wise error rate at 0.05, a hierarchical testing procedure was applied: PFS was tested first, followed by OS, with TTD for global health status tested only if both PFS and OS achieved statistical significance.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Multiple Endpoints in Clinical Trials Guidance (2022) [GUIDANCE] | Bretz F et al. 2009 (Biometrical J)
15,Hierarchical Testing,None,Statistical method,Sequential hypothesis testing procedure where secondary endpoints are tested only if primary endpoints achieve significance.,"Hierarchical testing (also called sequential or fixed-sequence testing) is a multiplicity control strategy in which endpoints are ordered by clinical and regulatory priority, and each endpoint is tested at the full alpha level only if all preceding endpoints in the hierarchy have achieved statistical significance. If any endpoint in the sequence fails to reach significance, all subsequent tests are declared non-significant and confirmatory testing stops. This procedure controls the FWER strongly without requiring alpha splitting, thereby preserving full power for each individual test within the hierarchy. PRO endpoints in oncology trials are typically positioned below survival endpoints (PFS, OS) in the hierarchy, meaning PRO confirmation depends on those upstream endpoints achieving significance first. In multiple myeloma trials, a common hierarchy is: PFS → OS → TTD (global health status) → TTD (pain) → domain-specific subscales.","Hierarchical testing determines whether PRO endpoints can ever achieve confirmatory status in a given trial, as failure of upstream clinical endpoints forecloses PRO labelling claims regardless of PRO results. An AI agent must map the full testing hierarchy and identify where PRO endpoints sit to assess their confirmatory versus exploratory status.",Hierarchical testing | Sequential testing | Fixed-sequence testing | Step-down testing | Gatekeeper testing | Testing hierarchy | Serial gatekeeper | Primary-secondary testing cascade | Fixed-sequence procedure | Testing order | Gatekeeping procedure,"Under the prespecified hierarchical testing procedure, PFS (p<0.001) and OS (p=0.018) both achieved significance, enabling confirmatory testing of TTD for global health status, which also reached significance (p=0.004) and supported a PRO labelling claim.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Multiple Endpoints in Clinical Trials Guidance (2022) [GUIDANCE] | Dmitrienko A & D'Agostino RB 2013 (N Engl J Med)
16,Multiplicity Adjustment,None,Statistical method,Statistical corrections applied to significance thresholds when multiple hypotheses are tested to control false positive rates.,"Multiplicity adjustment encompasses any statistical method that modifies individual test significance thresholds or p-values to account for the increased probability of at least one false positive when multiple hypotheses are tested simultaneously within a single trial. Specific adjustment approaches include Bonferroni (divide α by number of tests), Holm step-down, Hochberg step-up, Benjamini-Hochberg false discovery rate (FDR) control, and graphical procedures that distribute alpha across families of endpoints. Multiplicity is relevant in PRO contexts at three levels: across multiple PRO endpoints, across multiple PRO domains within an instrument, and across multiple assessment timepoints for a single domain. FDA guidance for oncology trials requires explicit multiplicity adjustment for all confirmatory PRO analyses; exploratory PRO analyses may report unadjusted p-values if clearly labelled. Failure to adequately address multiplicity in a PRO submission is a common FDA and EMA deficiency finding.",Multiplicity adjustment directly governs which PRO findings receive confirmatory status in regulatory review; inadequate adjustment is a leading reason PRO claims are rejected or downgraded to exploratory. An AI agent should flag any multi-domain or multi-timepoint PRO analysis that lacks a documented adjustment strategy.,Multiplicity adjustment | Multiple comparison adjustment | Bonferroni correction | Holm correction | Hochberg correction | FDR control | False discovery rate | Alpha adjustment | Multiple testing correction | Adjusted p-value | Familywise correction | Type I error adjustment | Multiple endpoints correction,"Multiplicity was addressed by applying the Hochberg step-up procedure to the four PRO secondary endpoints, maintaining the family-wise error rate at 0.05; two of the four endpoints achieved adjusted significance, supporting their inclusion in the product label.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Multiple Endpoints in Clinical Trials Guidance (2022) [GUIDANCE] | Hochberg Y 1988 (Biometrika)
17,Label Claim,None,Regulatory concept,Approved language in a product's prescribing information describing a demonstrated treatment benefit.,"A label claim is the specific text included in the approved prescribing information (United States Package Insert, USPI; or Summary of Product Characteristics, SmPC) that describes a clinically and statistically substantiated treatment benefit, including those derived from PRO data. PRO-based label claims typically describe symptomatic benefit, health-related quality of life preservation, or delay of symptom worsening, and require evidence from prespecified, multiplicity-controlled, confirmatory analyses supported by validated instruments. FDA distinguishes between claims that appear in the Indications and Usage section (requiring highest evidence standard) versus those in Clinical Studies or Patient Counselling Information sections (somewhat lower threshold). The precise wording, strength, and positioning of a PRO claim are negotiated between the sponsor and the regulatory agency during the review process and are directly influenced by data quality, instrument validation, and missing data management. In multiple myeloma, PRO label claims have been achieved for pain, fatigue, and global health status for several approved therapies.","Label claims are the ultimate translational output of PRO data in regulatory submissions — they are the mechanism by which patient-centred evidence reaches prescribers, payers, and patients. An AI agent assessing PRO programmes should evaluate every analysis against the evidentiary standard required for the type of label claim the sponsor intends to pursue.",Label claim | Labelling claim | PRO label claim | Prescribing information claim | Package insert claim | USPI claim | SmPC claim | Symptom claim | HRQoL claim | Approved claim | Regulatory claim | Indications and Usage claim | Clinical Studies section claim | Patient Counselling Information claim,"Following the confirmatory TTD analysis demonstrating a 32% reduction in risk of global health status deterioration, FDA approved a label claim in the Clinical Studies section stating that the treatment delayed deterioration in patient-reported global health status compared with standard of care.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | FDA Guidance on Labeling for Human Prescription Drug and Biological Products [GUIDANCE] | Kluetz PG et al. 2016 (Clin Cancer Res)
18,Exploratory Endpoint,None,Regulatory concept,"An endpoint analysed without multiplicity control, intended to generate hypotheses rather than confirmatory evidence.","An exploratory endpoint is any endpoint not positioned within the confirmatory multiplicity-controlled testing hierarchy — either because it was prespecified as exploratory in the SAP or because it was added, modified, or conducted post-hoc after data unblinding. Exploratory analyses are conducted without formal alpha control, meaning their p-values are unadjusted nominal values that do not provide confirmatory evidence of treatment effect. They serve to generate scientific hypotheses, assess internal consistency of findings, and identify signals for future trial design, but cannot support regulatory label claims on their own. In PRO-inclusive oncology trials, exploratory endpoints may include subgroup HRQoL analyses, individual PRO domain trajectories, or novel instruments not yet validated for the target population. FDA and EMA require that exploratory endpoints be clearly labelled as such in submissions to prevent misinterpretation of nominal significance as confirmatory evidence.",Exploratory PRO endpoints contribute to the scientific narrative and hypothesis generation but cannot be used by an AI agent to attribute confirmed treatment benefit. Distinguishing exploratory from confirmatory PRO results is one of the highest-value classification tasks in regulatory PRO document analysis.,Exploratory endpoint | Exploratory analysis | Hypothesis-generating analysis | Nominal analysis | Unadjusted analysis | Non-confirmatory endpoint | Descriptive endpoint | Supportive PRO analysis | Signal-detection analysis | Pilot endpoint | Tertiary endpoint,"Domain-specific analyses of physical functioning, emotional functioning, and fatigue were prespecified as exploratory endpoints; although all three showed numerical improvement favouring the experimental arm, these results were characterised as hypothesis-generating and did not contribute to the confirmatory PRO evidence package.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE]
19,Substantial Evidence,None,Regulatory concept,"The evidentiary standard required by FDA for approval of a drug's effectiveness, typically from adequate and well-controlled trials.","Substantial evidence is the statutory standard under the US Federal Food, Drug, and Cosmetic Act (Section 505) that FDA requires to approve a drug or biological product, defined as evidence from adequate and well-controlled investigations by qualified scientific experts showing the drug will have the claimed effect. For PRO-based label claims, substantial evidence requires that findings come from at least one — and typically two — adequate and well-controlled trials with prespecified, multiplicity-adjusted, confirmatory PRO endpoints analysed with validated instruments and appropriate missing data management. The standard is higher for claims in the Indications and Usage section than for descriptive findings in the Clinical Studies section. FDA's Oncology Center of Excellence has acknowledged that a single well-controlled trial with highly persuasive PRO results may meet the substantial evidence threshold in some oncology contexts. In practice, substantial evidence for a PRO claim requires the convergence of statistical significance, clinical meaningfulness, instrument validity, and absence of major data quality concerns.",The substantial evidence standard defines the ceiling of evidentiary quality an AI agent must assess PRO data against to determine whether label claim language is likely to be approved versus rejected. It is the operative standard for all confirmatory PRO endpoint evaluation in US regulatory submissions.,Substantial evidence | Adequate and well-controlled evidence | Confirmatory evidence | Regulatory evidence standard | Proof of effectiveness | Pivotal evidence | FD&C Act Section 505 standard | Two-trial standard | Single persuasive trial standard | Strong evidence | Level of evidence,"FDA reviewers concluded that the single pivotal trial, while providing substantial evidence of PFS benefit, did not independently meet the substantial evidence standard for the PRO label claim owing to high PRO missing data rates exceeding 20% at the primary timepoint.",US Food Drug and Cosmetic Act Section 505 [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | FDA Guidance: Demonstrating Substantial Evidence of Effectiveness (2019) [GUIDANCE]
20,Supportive Evidence,None,Regulatory concept,Evidence that corroborates but does not independently establish a treatment effect or label claim.,"Supportive evidence refers to data that reinforce, contextualize, or add plausibility to a primary finding but that, on their own, would not meet the substantial evidence threshold for a regulatory claim. In PRO submissions, supportive evidence may include exploratory domain analyses, subgroup PRO findings, responder proportions accompanying a primary MMRM result, or PRO data from a second trial in a different line of therapy. The distinction between supportive and confirmatory evidence is critically dependent on prespecification and multiplicity control: a finding that is statistically significant but exploratory is supportive, not confirmatory. FDA frequently requests supportive PRO analyses to build a coherent benefit-risk narrative around a primary survival endpoint even when PRO data alone are insufficient for a standalone label claim. Supportive PRO evidence is often presented in the Clinical Studies section of the label rather than the Indications and Usage section.","Supportive PRO evidence shapes the overall benefit-risk narrative presented to prescribers and health technology assessment bodies, even when it cannot independently sustain a label claim. An AI agent should classify and weight PRO findings as confirmatory or supportive, as this distinction determines how they are used in benefit-risk argumentation.",Supportive evidence | Corroborating evidence | Supplementary evidence | Secondary evidence | Non-confirmatory evidence | Contextual evidence | Complementary evidence | Descriptive supportive data | Exploratory supportive evidence | HRQoL supportive data,"While the PRO analyses in the phase II trial were considered supportive evidence given the smaller sample size and absence of multiplicity control, they were included in the integrated summary of efficacy to contextualise the phase III findings and support the benefit-risk discussion.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man [GUIDANCE]
21,Post-hoc Analysis,None,PRO methodology,"An unplanned analysis conducted after data unblinding, not prespecified in the protocol or SAP.","A post-hoc analysis is any analysis not prespecified in the trial protocol or SAP prior to unblinding, conducted after examination of the data has begun or after the primary analysis has been completed. Post-hoc analyses are inherently hypothesis-generating because they capitalise on chance findings in the observed data, inflating the probability of spurious conclusions and precluding formal Type I error control. In PRO research, common post-hoc analyses include subgroup HRQoL comparisons, novel threshold definitions applied retrospectively, and additional domain analyses beyond those in the SAP. Regulatory agencies do not accept post-hoc PRO analyses as confirmatory evidence for label claims; they may, however, be submitted as exploratory or supportive data with clear labelling of their unplanned nature. Transparency in reporting — explicitly distinguishing post-hoc from prespecified analyses — is required by regulatory guidance and expected in journal submissions.",Post-hoc PRO analyses are the lowest tier of evidentiary weight in regulatory evaluation and must be clearly flagged by an AI agent to prevent erroneous attribution of confirmatory status. Failure to distinguish post-hoc from prespecified findings is a critical analytical error in regulatory document review.,Post-hoc analysis | Post hoc analysis | Unplanned analysis | Data-driven analysis | Retrospective analysis | Ad hoc analysis | Exploratory post-hoc | Hypothesis-generating analysis | Data-dredging | Outcome switching | Undisclosed analysis | Unprespecified analysis,"The sponsor noted that the subgroup analysis of TTD in patients aged >65 years was a post-hoc analysis not prespecified in the SAP, and therefore characterised the numerically superior HR of 0.61 as hypothesis-generating, to be tested prospectively in a dedicated trial.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Altman DG & Bland JM 1994 (BMJ)
22,Sensitivity Analysis,None,Statistical method,Repeated analyses under alternative assumptions to assess the robustness of a primary result.,"A sensitivity analysis is a pre-planned or post-hoc replication of a primary analysis under alternative but plausible methodological assumptions, with the purpose of testing whether the primary conclusion holds under a range of conditions. In PRO analyses, sensitivity analyses commonly vary: the missing data handling method (e.g., MMRM vs. LOCF vs. multiple imputation), the deterioration threshold (±5 points around the primary MID), the censoring rules for TTD/TTDD, and the handling of patients who switch treatment. Sensitivity analyses must be distinguished from primary analyses in reporting, with their role explicitly framed as assessing robustness rather than providing independent confirmatory evidence. FDA guidance on missing data (2019) specifically requires pre-planned sensitivity analyses for any longitudinal PRO primary endpoint to address the MAR assumption underlying MMRM. Converging sensitivity analysis results strengthen regulatory confidence in the primary finding; divergent results prompt additional scrutiny and agency queries.","Sensitivity analyses are essential for demonstrating that PRO labelling claims are robust to methodological uncertainty — particularly missing data assumptions — which regulators view as a major threat to PRO data validity. An AI agent should evaluate the breadth, pre-specification, and convergence of sensitivity analyses when assessing the strength of a PRO evidence package.",Sensitivity analysis | Robustness analysis | Alternative analysis | Scenario analysis | Assumption testing | Missing data sensitivity | MNAR sensitivity | Tipping point analysis | Stress test analysis | Supplementary analysis | What-if analysis | Plausible assumption analysis,"Pre-specified sensitivity analyses using multiple imputation under a missing-not-at-random (MNAR) assumption produced HR estimates ranging from 0.69 to 0.74 for TTD, consistent with the primary MMRM result of 0.71, confirming the robustness of the PRO finding.",FDA Guidance for Industry: Missing Data in Clinical Trials (2019) [GUIDANCE] | NRC Report on Prevention and Treatment of Missing Data in Clinical Studies (2010) [GUIDANCE] | ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE]
